Site,Order,Lat,Long,20_Sp_1,20_Date,20_NAd,20_eggs_Y or N,20_NEggLai,20_hatch,20_Nyng,20_Comm,20_Sp_2,20_Date,20_NAd,20_eggs_Yor N,20_NEggLai,20_hatch,20_Nyng,20_Comm,20_Sp_3,20_Date,20_NAd,20_eggs_Y or N,20_NEggLai,20_hatch,20_Nyng,20_Comm
104,43,71.3235,-79.3264,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
107,75,71.3291,-79.2855,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,PEFA,19-Jul-20,1,y,unk,unk,unk,"Female incubating, did not flush",PEFA,14-Aug-20,0,n,unk,unk,3,NA
108,1,71.3161,-79.2763,not detected,25-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
109,76,71.3250,-79.2731,RLHA,27-Jun-20,1,unk,unk,unk,unk,"Parents remained on nest, waypoint taken",RLHA,19-Jul-20,1,unk,unk,unk,unk,"Female incubating, did not flush",RLHA,14-Aug-20,1,n,unk,unk,3,NA
114,3,71.3097,-79.1953,not detected,25-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
115,4,71.3087,-79.1925,not detected,25-Jun-20,NA,NA,NA,NA,NA,NA,RLHA,18-Jul-20,2,n,3,3,unk,,RLHA,11-Aug-20,1,n,2,2,3,NA
117,5,71.3017,-79.1906,not detected,25-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
119,7,71.2918,-79.1900,RLHA,25-Jun-20,2,unk,unk,unk,unk,"RLHA flushed, waypoint taken",RLHA,18-Jul-20,2,y,0,3,unk,Flushed,RLHA,11-Aug-20,0,n,unk,3,3,NA
122,8,71.2881,-79.1717,not detected,25-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,PEFA,11-Aug-20,0,n,unk,unk,3,NA
124,9,71.2833,-79.1592,not detected,25-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
127,10,71.2766,-79.1223,not detected,25-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
128,11,71.2738,-79.1069,PEFA,25-Jun-20,1,unk,unk,unk,unk,"Female incubating, did not flush, waypoint taken",PEFA,18-Jul-20,1,unk,unk,unk,unk,"Female incubating, did not flush",PEFA,11-Aug-20,1,n,unk,unk,3,NA
129,12,71.2723,-79.0988,not detected,25-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
135,26,71.2271,-79.0682,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,RLHA,18-Jul-20,1,y,4,0,unk,Flushed,RLHA,11-Aug-20,0,n,4,unk,3,NA
138,14,71.2597,-79.0468,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,RLHA,18-Jul-20,1,y,0,2,unk,Female flushed,RLHA,11-Aug-20,0,n,unk,2,2,NA
139,25,71.2376,-79.0316,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
141,15,71.2547,-79.0186,PEFA,25-Jun-20,2,unk,unk,unk,unk,NA,PEFA,18-Jul-20,1,y,4,0,unk,Flushed,PEFA,11-Aug-20,1,n,4,unk,4,NA
143,16,71.2552,-79.0151,not detected,25-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
145,24,71.2432,-78.9911,not detected,25-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
148,23,71.2451,-78.9201,not detected,25-Jun-20,NA,NA,NA,NA,NA,NA,RLHA,18-Jul-20,1,y,0,2,unk,Flushed,RLHA,11-Aug-20,0,n,unk,unk,3,NA
150,22,71.2444,-78.9136,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
160,17,71.2483,-78.8876,not detected,25-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
164,21,71.2270,-78.8723,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,no birds,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
165,20,71.2268,-78.8720,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,PEFA,18-Jul-20,1,n,0,0,0,Female flushed from old nest,PEFA,11-Aug-20,0,n,unk,unk,3,NA
173,19,71.2203,-78.8383,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
338,34,71.2181,-79.7897,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
339,112,71.3612,-79.6450,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
355,97,71.4038,-80.1698,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
356,116,71.4708,-80.2779,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
357,150,71.8392,-80.8400,PEFA,28-Jun-20,1,unk,unk,unk,unk,"Parent remained on nest, waypoint taken",PEFA,20-Jul-20,1,y,unk,unk,unk,"Female incubating, did not flush",PEFA,14-Aug-20,0,n,unk,unk,2,NA
359,102,71.4306,-80.0472,RLHA,26-Jun-20,2,y,4,0,0,"Both parents flushed, waypoint taken",RLHA,18-Jul-20,1,y,1,4,unk,Didn't flush,RLHA,11-Aug-20,1,n,4,4,4,NA
360,173,71.7598,-80.4008,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,not detected,20-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
374,119,71.5142,-80.3067,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
375,100,71.4607,-80.1918,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
376,142,71.5028,-80.1798,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
377,50,71.3801,-79.4524,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
378,99,71.4543,-80.2251,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
379,95,71.4002,-80.1513,RLHA,26-Jun-20,1,y,4,0,0,"Parent flushed, waypoint taken",RLHA,18-Jul-20,1,y,0,unk,unk,Flushed,RLHA,11-Aug-20,1,n,unk,unk,3,NA
380,103,71.4306,-80.0400,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
382,141,71.6283,-80.2852,RLHA,28-Jun-20,1,y,2,0,0,"Parent flushed, waypoint taken",RLHA,19-Jul-20,1,y,2,0,unk,Parents flushed,RLHA,14-Aug-20,1,n,2,2,2,NA
383,126,71.6540,-80.4598,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,PEFA,19-Jul-20,0,n,0,0,0,No birds seen,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
384,129,71.7214,-80.7419,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
385,88,71.3612,-80.2365,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
386,136,71.7172,-80.2554,RLHA,27-Jun-20,1,y,4,0,0,"Parent flushed, waypoint taken",RLHA,19-Jul-20,1,y,0,2,unk,Parent flushed,RLHA,14-Aug-20,1,n,4,unk,3,NA
387,161,71.9265,-80.7551,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,PEFA,20-Jul-20,1,n,0,0,0,"1 PEFA on cliff, no nests sighted",not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
